name,url,specialties,hospitals,able_to_book,appointments_next_4_weeks,first_available_days_away
"Dr  Vinay Kumar  Bhatia","https://www.nuffieldhealth.com/consultants/dr-vinay-kumar-bhatia","Cardiology","Tunbridge Wells Hospital","No","0","0"
"Dr  Vishal  Mehta","https://www.nuffieldhealth.com/consultants/dr-vishal-mehta","Paediatrics","Leeds Hospital","No","0","0"
"Dr  Yong Oon","https://www.nuffieldhealth.com/consultants/dr-yong-oon","Dermatology","Taunton Hospital","No","0","0"
"Dr A Al-Allaf","https://www.nuffieldhealth.com/consultants/dr-a-al-allaf","General (internal) Medicine; Rheumatology","Wolverhampton Hospital","No","0","0"
"Dr A. H. Mohsen","https://www.nuffieldhealth.com/consultants/dr-a-h-mohsen","General (internal) Medicine; Gastroenterology","Ipswich Hospital","Yes","18","7"
"Dr Aadarsh Shah","https://www.nuffieldhealth.com/consultants/dr-aadarsh-shah","Dermatology","Highgate Hospital","Yes","0","7"
"Dr Aadil Shaukat","https://www.nuffieldhealth.com/consultants/dr-aadil-shaukat","Cardiology","Glasgow Hospital","Yes","12","8"
"Dr Aashish Vyas","https://www.nuffieldhealth.com/consultants/dr-aashish-vyas","General (internal) Medicine; Respiratory Medicine","Manchester Institute of Health &amp; Performance (MIHP)","No","0","0"
"Dr Abbas Al-Shammari","https://www.nuffieldhealth.com/consultants/dr-abbas-al-shammari","","","No","0","0"
"Dr Abdul  Mozid","https://www.nuffieldhealth.com/consultants/dr-abdul-mozid","Cardiology","Leeds Hospital","No","0","0"
"Dr Abdul Al-Saleh","https://www.nuffieldhealth.com/consultants/dr-abdul-al-saleh","Clinical Neurophysiology; Neurophysiology","Wolverhampton Hospital; Exeter Hospital","Yes","6","15"
"Dr Abdul Lakhdar","https://www.nuffieldhealth.com/consultants/dr-abdul-lakhdar","Endocrinology and Diabetes Mellitus","The Holly Hospital","Yes","18","6"
"Dr Abdullah Shehu","https://www.nuffieldhealth.com/consultants/dr-a-shehu","Neurology","Warwickshire Hospital","Yes","6","15"
"Dr Abhijit Chaudhuri","https://www.nuffieldhealth.com/consultants/dr-abhijit-chaudhuri","Neurology","Glasgow Hospital","Yes","0","0"
"Dr Adam Ainley","https://www.nuffieldhealth.com/consultants/dr-adam-ainley","Respiratory Medicine; General (internal) Medicine","The Holly Hospital","Yes","11","3"
"Dr Adam Bailey","https://www.nuffieldhealth.com/consultants/dr-adam-bailey","Gastroenterology","Oxford, The Manor Hospital","Yes","3","17"
"Dr Adam Bray","https://www.nuffieldhealth.com/consultants/dr-adam-bray","Dermatology","Bristol Hospital","Yes","0","0"
"Dr Adam Darowski","https://www.nuffieldhealth.com/consultants/dr-adam-darowski","General (internal) Medicine; Geriatric Medicine","Oxford, The Manor Hospital","No","0","0"
"Dr Adam Ferguson","https://www.nuffieldhealth.com/consultants/dr-adam-ferguson","Dermatology","Derby Hospital","Yes","0","0"
"Dr Adam Jacques","https://www.nuffieldhealth.com/consultants/dr-adam-jacques","Cardiology","Woking Hospital","No","0","0"
"Dr Adam Lawson","https://www.nuffieldhealth.com/consultants/dr-adam-lawson","Gastroenterology","Derby Hospital","Yes","1","15"
"Dr Adam Stone","https://www.nuffieldhealth.com/consultants/dr-adam-stone","Gastroenterology; General (internal) Medicine","Chichester Hospital","Yes","0","0"
"Dr Ade Apoola","https://www.nuffieldhealth.com/consultants/dr-ade-apoola","Genito-urinary Medicine (Sexual Health)","Derby Hospital","Yes","4","2"
"Dr Aderonke Awe","https://www.nuffieldhealth.com/consultants/dr-aderonke-awe","Gynaecology","Shrewsbury Hospital","Yes","3","6"
"Dr Adrian Bateman","https://www.nuffieldhealth.com/consultants/dr-adrian-bateman","Histopathology","Wessex Hospital","No","0","0"
"Dr Adrian Draper","https://www.nuffieldhealth.com/consultants/dr-adrian-draper","General (internal) Medicine; Respiratory Medicine","Parkside Hospital","Yes","9","8"
"Dr Adrian Fowle","https://www.nuffieldhealth.com/consultants/dr-adrian-fowle","Clinical Neurophysiology","Woking Hospital","No","0","0"
"Dr Adrian Morley-Davies","https://www.nuffieldhealth.com/consultants/dr-adrian-morley-davies","Cardiology; General (internal) Medicine","North Staffordshire Hospital","Yes","0","0"
"Dr Agam Jung","https://www.nuffieldhealth.com/consultants/dr-agam-jung","Neurology","Leeds Hospital","No","0","8"
"Dr Ahamad Hassan","https://www.nuffieldhealth.com/consultants/dr-ahamad-hassan","Neurology","Leeds Hospital","Yes","7","14"
"Dr Ahmad Mahmood","https://www.nuffieldhealth.com/consultants/dr-ahmad-mahmood","General Psychiatry; Old Age Psychiatry","Warwickshire Hospital","No","0","0"
"Dr Ahmed F Jaafar","https://www.nuffieldhealth.com/consultants/dr-ahmed-f-jaafar","Geriatric Medicine","Newcastle upon Tyne Hospital","Yes","0","0"
"Dr Ahmed Fahim","https://www.nuffieldhealth.com/consultants/dr-ahmed-fahim","General (internal) Medicine; Respiratory Medicine","Wolverhampton Hospital","Yes","0","0"
"Dr Ahmir Ahmad","https://www.nuffieldhealth.com/consultants/dr-ahmir-ahmad","Gastroenterology; General (internal) Medicine","Brentwood Hospital","Yes","14","11"
"Dr Ajay Mehta","https://www.nuffieldhealth.com/consultants/dr-ajay-mehta","Clinical Oncology","Guildford Hospital","No","0","0"
"Dr Ajay Yerramasu","https://www.nuffieldhealth.com/consultants/dr-ajay-yerramasu","Cardiology","Edinburgh Hospital","Yes","8","9"
"Dr Ajeet  Maan","https://www.nuffieldhealth.com/consultants/dr-ajeet-maan","Dermatology","Glasgow Hospital","Yes","1","21"
"Dr Alan Roberts","https://www.nuffieldhealth.com/consultants/dr-alan-roberts","General Practice (GP)","Chester, The Grosvenor Hospital","Yes","19","4"
"Dr Alan Watson","https://www.nuffieldhealth.com/consultants/dr-alan-watson","Gastroenterology","The Holly Hospital","Yes","21","7"
